a2_1,a2v_1,a2_2,a2v_2
1.02742,-0.329718,1.0275,-0.329704
1.01063,-0.335917,1.0107,-0.335903
0.993519,-0.342128,0.993599,-0.342115
0.976102,-0.348351,0.976182,-0.348338
0.958373,-0.354583,0.958454,-0.35457
0.940332,-0.36082,0.940413,-0.360808
0.921979,-0.367061,0.922061,-0.367049
0.903314,-0.373302,0.903396,-0.37329
0.884337,-0.379539,0.88442,-0.379528
0.865048,-0.38577,0.865132,-0.385759
0.845449,-0.391989,0.845533,-0.391978
0.825539,-0.398191,0.825624,-0.398181
0.80532,-0.404372,0.805406,-0.404363
0.784794,-0.410525,0.78488,-0.410516
0.763962,-0.416644,0.764048,-0.416636
0.742826,-0.422721,0.742913,-0.422713
0.721389,-0.428747,0.721476,-0.428741
0.699653,-0.434715,0.69974,-0.434708
0.677622,-0.440612,0.67771,-0.440606
0.655301,-0.446428,0.655389,-0.446423
0.632693,-0.452149,0.632782,-0.452146
0.609805,-0.457763,0.609894,-0.45776
0.586643,-0.463254,0.586731,-0.463252
0.563212,-0.468605,0.563301,-0.468604
0.539522,-0.473799,0.539611,-0.473799
0.515581,-0.478817,0.51567,-0.478818
0.491399,-0.483639,0.491488,-0.483641
0.466987,-0.488244,0.467075,-0.488247
0.442357,-0.492609,0.442445,-0.492614
0.417521,-0.496714,0.417609,-0.49672
0.392494,-0.500534,0.392581,-0.500542
0.367292,-0.504047,0.367379,-0.504057
0.341931,-0.507231,0.342017,-0.507242
0.316427,-0.510065,0.316513,-0.510078
0.290801,-0.512529,0.290885,-0.512543
0.265071,-0.514604,0.265154,-0.51462
0.239257,-0.516275,0.23934,-0.516293
0.21338,-0.517528,0.213462,-0.517547
0.187463,-0.518352,0.187544,-0.518373
0.161526,-0.518741,0.161606,-0.518764
0.135591,-0.518692,0.13567,-0.518716
0.109681,-0.518203,0.109758,-0.518229
0.0838171,-0.517279,0.083893,-0.517306
0.0580208,-0.515926,0.0580953,-0.515955
0.0323131,-0.514155,0.0323861,-0.514185
0.00671417,-0.511979,0.00678557,-0.51201
-0.0187565,-0.509413,-0.0186867,-0.509445
-0.0440802,-0.506475,-0.0440121,-0.506508
-0.0692394,-0.503184,-0.069173,-0.503219
-0.0942175,-0.499562,-0.0941529,-0.499597
-0.118999,-0.495628,-0.118936,-0.495664
-0.143569,-0.491406,-0.143508,-0.491442
-0.167915,-0.486916,-0.167856,-0.486953
-0.192024,-0.482179,-0.191967,-0.482216
-0.215885,-0.477216,-0.215829,-0.477254
-0.239487,-0.472047,-0.239434,-0.472085
-0.262822,-0.466691,-0.26277,-0.466729
-0.28588,-0.461164,-0.28583,-0.461202
-0.308654,-0.455482,-0.308606,-0.455521
-0.331137,-0.449662,-0.331091,-0.4497
-0.353323,-0.443716,-0.353279,-0.443754
-0.375206,-0.437657,-0.375164,-0.437695
-0.396781,-0.431496,-0.39674,-0.431534
-0.418043,-0.425244,-0.418005,-0.425282
-0.438988,-0.41891,-0.438952,-0.418947
-0.459613,-0.412501,-0.459579,-0.412538
-0.479915,-0.406025,-0.479882,-0.406063
-0.499889,-0.399489,-0.499858,-0.399526
-0.519534,-0.392899,-0.519505,-0.392936
-0.538847,-0.386259,-0.53882,-0.386296
-0.557826,-0.379575,-0.5578,-0.379612
-0.576468,-0.372851,-0.576445,-0.372887
-0.594773,-0.36609,-0.594751,-0.366126
-0.612738,-0.359297,-0.612718,-0.359332
-0.630361,-0.352474,-0.630343,-0.352509
-0.647643,-0.345624,-0.647626,-0.345659
-0.66458,-0.338751,-0.664565,-0.338785
-0.681173,-0.331856,-0.68116,-0.33189
-0.69742,-0.324944,-0.697409,-0.324977
-0.713321,-0.318016,-0.713311,-0.318049
-0.728875,-0.311074,-0.728866,-0.311107
-0.744081,-0.304122,-0.744074,-0.304155
-0.758939,-0.297162,-0.758934,-0.297194
-0.773449,-0.290197,-0.773445,-0.290229
-0.78761,-0.283229,-0.787608,-0.28326
-0.801423,-0.276261,-0.801423,-0.276292
-0.814888,-0.269296,-0.814889,-0.269327
-0.828005,-0.262337,-0.828008,-0.262367
-0.840774,-0.255386,-0.840778,-0.255416
-0.853197,-0.248448,-0.853202,-0.248477
-0.865273,-0.241524,-0.86528,-0.241553
-0.877004,-0.234619,-0.877012,-0.234647
-0.888391,-0.227736,-0.8884,-0.227764
-0.899435,-0.220879,-0.899446,-0.220906
-0.910137,-0.21405,-0.91015,-0.214077
-0.9205,-0.207255,-0.920514,-0.207282
-0.930525,-0.200498,-0.93054,-0.200523
-0.940214,-0.193781,-0.94023,-0.193806
-0.949569,-0.187111,-0.949587,-0.187135
-0.958594,-0.18049,-0.958613,-0.180514
-0.96729,-0.173925,-0.96731,-0.173948
-0.975661,-0.167419,-0.975682,-0.167442
-0.98371,-0.160977,-0.983732,-0.161
-0.99144,-0.154606,-0.991463,-0.154627
-0.998856,-0.148309,-0.99888,-0.14833
-1.00596,-0.142092,-1.00599,-0.142112
-1.01276,-0.135961,-1.01278,-0.135981
-1.01925,-0.129922,-1.01928,-0.129941
-1.02545,-0.12398,-1.02548,-0.123998
-1.03136,-0.118141,-1.03139,-0.118159
-1.03698,-0.112412,-1.03701,-0.112429
-1.04232,-0.106798,-1.04235,-0.106815
-1.04739,-0.101307,-1.04742,-0.101322
-1.05218,-0.0959436,-1.05222,-0.0959584
-1.05672,-0.0907151,-1.05675,-0.0907291
-1.061,-0.0856277,-1.06103,-0.085641
-1.06504,-0.0806879,-1.06507,-0.0807005
-1.06883,-0.0759022,-1.06886,-0.0759139
-1.07239,-0.0712766,-1.07243,-0.0712876
-1.07573,-0.0668175,-1.07577,-0.0668277
-1.07886,-0.0625308,-1.0789,-0.0625402
-1.08178,-0.0584222,-1.08182,-0.0584308
-1.08451,-0.0544972,-1.08454,-0.054505
-1.08705,-0.0507608,-1.08708,-0.0507678
-1.08941,-0.0472177,-1.08944,-0.0472239
-1.0916,-0.0438721,-1.09164,-0.0438775
-1.09364,-0.0407276,-1.09367,-0.0407323
-1.09553,-0.0377873,-1.09556,-0.0377912
-1.09728,-0.0350536,-1.09732,-0.0350567
-1.0989,-0.0325281,-1.09894,-0.0325304
-1.10042,-0.0302118,-1.10045,-0.0302134
-1.10182,-0.0281048,-1.10186,-0.0281057
-1.10313,-0.0262064,-1.10317,-0.0262066
-1.10436,-0.0245152,-1.1044,-0.0245148
-1.10551,-0.0230288,-1.10555,-0.0230277
-1.1066,-0.021744,-1.10663,-0.0217423
-1.10763,-0.0206568,-1.10767,-0.0206546
-1.10862,-0.0197624,-1.10865,-0.0197597
-1.10957,-0.0190553,-1.10961,-0.019052
